base_graph_id,n,d,k,greedy,optimum,upper,initial_upper,certified_optimal,initial_certified_optimal,trivial_endpoint,tightening,upper_over_optimum,relative_upper_slack,greedy_ratio,certified_ratio,relative_gap_bound
r2-preflight-n12-d3-r0000,12,3,12,12,12,12,12,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0001,12,3,1,3,3,3,3,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0001,12,3,2,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0001,12,3,3,8,9,9,9,0,0,0,0,1.0,0.0,0.8888888888888888,0.8888888888888888,0.11111111111111116
r2-preflight-n12-d3-r0001,12,3,4,10,10,12,12,0,0,0,0,1.2,0.2,1.0,0.8333333333333334,0.16666666666666663
r2-preflight-n12-d3-r0001,12,3,6,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0001,12,3,8,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0001,12,3,12,12,12,12,12,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0000,12,4,1,4,4,4,4,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0000,12,4,2,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0000,12,4,3,11,11,12,12,0,0,0,0,1.0909090909090908,0.09090909090909091,1.0,0.9166666666666666,0.08333333333333337
r2-preflight-n12-d4-r0000,12,4,5,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0000,12,4,6,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0000,12,4,12,12,12,12,12,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0001,12,4,1,4,4,4,4,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0001,12,4,2,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0001,12,4,3,10,11,12,12,0,0,0,0,1.0909090909090908,0.09090909090909091,0.9090909090909091,0.8333333333333334,0.16666666666666663
r2-preflight-n12-d4-r0001,12,4,5,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0001,12,4,6,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d4-r0001,12,4,12,12,12,12,12,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0000,16,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0000,16,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0000,16,2,4,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0000,16,2,6,11,12,12,12,0,0,0,0,1.0,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333337
r2-preflight-n16-d2-r0000,16,2,8,13,14,14,14,0,0,0,0,1.0,0.0,0.9285714285714286,0.9285714285714286,0.0714285714285714
r2-preflight-n16-d2-r0000,16,2,12,14,14,14,14,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0000,16,2,16,14,14,14,14,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0001,16,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0001,16,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0001,16,2,4,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0001,16,2,6,11,12,12,12,0,0,0,0,1.0,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333337
r2-preflight-n16-d2-r0001,16,2,8,13,14,15,15,0,0,0,0,1.0714285714285714,0.07142857142857142,0.9285714285714286,0.8666666666666667,0.1333333333333333
r2-preflight-n16-d2-r0001,16,2,12,15,15,15,15,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d2-r0001,16,2,16,15,15,15,15,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0000,16,3,1,3,3,3,3,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0000,16,3,2,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0000,16,3,3,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0000,16,3,4,11,12,12,12,0,0,0,0,1.0,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333337
r2-preflight-n16-d3-r0000,16,3,6,13,15,15,15,0,0,0,0,1.0,0.0,0.8666666666666667,0.8666666666666667,0.1333333333333333
r2-preflight-n16-d3-r0000,16,3,8,15,15,15,15,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0000,16,3,11,15,15,15,15,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0000,16,3,16,15,15,15,15,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0001,16,3,1,3,3,3,3,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0001,16,3,2,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0001,16,3,3,9,9,9,9,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0001,16,3,4,11,12,12,12,0,0,0,0,1.0,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333337
r2-preflight-n16-d3-r0001,16,3,6,15,15,15,15,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0001,16,3,8,15,15,15,15,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0001,16,3,11,15,15,15,15,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d3-r0001,16,3,16,15,15,15,15,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0000,16,4,1,4,4,4,4,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0000,16,4,2,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0000,16,4,3,11,12,12,12,0,0,0,0,1.0,0.0,0.9166666666666666,0.9166666666666666,0.08333333333333337
r2-preflight-n16-d4-r0000,16,4,4,14,16,16,16,0,0,0,0,1.0,0.0,0.875,0.875,0.125
r2-preflight-n16-d4-r0000,16,4,6,16,16,16,16,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0000,16,4,8,16,16,16,16,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0000,16,4,16,16,16,16,16,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0001,16,4,1,4,4,4,4,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0001,16,4,2,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0001,16,4,3,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0001,16,4,4,14,14,16,16,0,0,0,0,1.1428571428571428,0.14285714285714285,1.0,0.875,0.125
r2-preflight-n16-d4-r0001,16,4,6,16,16,16,16,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0001,16,4,8,16,16,16,16,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n16-d4-r0001,16,4,16,16,16,16,16,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0000,20,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0000,20,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0000,20,2,5,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0000,20,2,8,15,16,16,16,0,0,0,0,1.0,0.0,0.9375,0.9375,0.0625
r2-preflight-n20-d2-r0000,20,2,10,17,19,19,19,0,0,0,0,1.0,0.0,0.8947368421052632,0.8947368421052632,0.10526315789473684
r2-preflight-n20-d2-r0000,20,2,15,19,19,19,19,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0000,20,2,20,19,19,19,19,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0001,20,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0001,20,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0001,20,2,5,10,10,10,10,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0001,20,2,8,15,16,16,16,0,0,0,0,1.0,0.0,0.9375,0.9375,0.0625
r2-preflight-n20-d2-r0001,20,2,10,16,16,16,16,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0001,20,2,15,16,16,16,16,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d2-r0001,20,2,20,16,16,16,16,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0000,20,3,1,3,3,3,3,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0000,20,3,2,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0000,20,3,4,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0000,20,3,5,14,15,15,15,0,0,0,0,1.0,0.0,0.9333333333333333,0.9333333333333333,0.06666666666666665
r2-preflight-n20-d3-r0000,20,3,7,18,18,18,18,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0000,20,3,10,18,18,18,18,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0000,20,3,14,18,18,18,18,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0000,20,3,20,18,18,18,18,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0001,20,3,1,3,3,3,3,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0001,20,3,2,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0001,20,3,4,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0001,20,3,5,14,15,15,15,0,0,0,0,1.0,0.0,0.9333333333333333,0.9333333333333333,0.06666666666666665
r2-preflight-n20-d3-r0001,20,3,7,17,17,18,18,0,0,0,0,1.0588235294117647,0.058823529411764705,1.0,0.9444444444444444,0.05555555555555558
r2-preflight-n20-d3-r0001,20,3,10,18,18,18,18,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0001,20,3,14,18,18,18,18,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d3-r0001,20,3,20,18,18,18,18,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0000,20,4,1,4,4,4,4,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0000,20,4,2,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0000,20,4,3,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0000,20,4,4,15,15,16,16,0,0,0,0,1.0666666666666667,0.06666666666666667,1.0,0.9375,0.0625
r2-preflight-n20-d4-r0000,20,4,5,17,18,20,20,0,0,0,0,1.1111111111111112,0.1111111111111111,0.9444444444444444,0.85,0.15000000000000002
r2-preflight-n20-d4-r0000,20,4,8,20,20,20,20,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0000,20,4,10,20,20,20,20,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0000,20,4,20,20,20,20,20,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0001,20,4,1,4,4,4,4,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0001,20,4,2,8,8,8,8,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0001,20,4,3,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0001,20,4,4,15,15,16,16,0,0,0,0,1.0666666666666667,0.06666666666666667,1.0,0.9375,0.0625
r2-preflight-n20-d4-r0001,20,4,5,17,17,19,19,0,0,0,0,1.1176470588235294,0.11764705882352941,1.0,0.8947368421052632,0.10526315789473684
r2-preflight-n20-d4-r0001,20,4,8,19,19,19,19,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0001,20,4,10,19,19,19,19,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n20-d4-r0001,20,4,20,19,19,19,19,1,1,1,0,1.0,0.0,1.0,1.0,0.0
