case_id,split,family,chain_limit,weight,budget,prefix_sum,final_cost,optimum_prefix_sum,total_recourse,max_request_recourse,cpu_seconds,wall_seconds
dev_nested,dev,nested,5,1/2,1,151,134,147,0,0,0.0,0.003547400003299117
dev_nested,dev,nested,5,1/2,2,151,134,147,0,0,0.015625,0.0035978000014438294
dev_nested,dev,nested,5,1/2,4,151,134,147,0,0,0.0,0.004368299996713176
dev_nested,dev,nested,5,1,1,151,134,147,0,0,0.0,0.004569600001559593
dev_nested,dev,nested,5,1,2,151,134,147,0,0,0.0,0.003695200000947807
dev_nested,dev,nested,5,1,4,151,134,147,0,0,0.015625,0.0038372999988496304
uniform_01,eval,uniform,1,0,1,63,18,63,0,0,0.0,0.00016509999841218814
uniform_01,eval,uniform,1,0,2,63,18,63,0,0,0.0,0.0001551000023027882
uniform_01,eval,uniform,1,0,4,63,18,63,0,0,0.0,0.00015809999604243785
uniform_01,eval,uniform,1,1/2,1,63,18,63,0,0,0.0,0.0001816000003600493
uniform_01,eval,uniform,1,1/2,2,63,18,63,0,0,0.0,0.00015839999832678586
uniform_01,eval,uniform,1,1/2,4,63,18,63,0,0,0.0,0.0001621000046725385
uniform_01,eval,uniform,5,0,1,63,18,63,0,0,0.0,0.004886999995505903
uniform_01,eval,uniform,5,0,2,63,18,63,0,0,0.0,0.004298899999412242
uniform_01,eval,uniform,5,0,4,63,18,63,0,0,0.015625,0.004004299997177441
uniform_01,eval,uniform,5,1/2,1,63,18,63,0,0,0.0,0.005048500002885703
uniform_01,eval,uniform,5,1/2,2,63,18,63,0,0,0.0,0.004527700002654456
uniform_01,eval,uniform,5,1/2,4,63,18,63,0,0,0.0,0.004230499995173886
uniform_02,eval,uniform,1,0,1,63,18,63,0,0,0.0,0.00022449999960372224
uniform_02,eval,uniform,1,0,2,63,18,63,0,0,0.0,0.0001751000017975457
uniform_02,eval,uniform,1,0,4,63,18,63,0,0,0.0,0.0001816000003600493
uniform_02,eval,uniform,1,1/2,1,63,18,63,0,0,0.0,0.00017439999646740034
uniform_02,eval,uniform,1,1/2,2,63,18,63,0,0,0.0,0.00017159999697469175
uniform_02,eval,uniform,1,1/2,4,63,18,63,0,0,0.0,0.00017560000560479239
uniform_02,eval,uniform,5,0,1,63,18,63,0,0,0.0,0.004086000000825152
uniform_02,eval,uniform,5,0,2,63,18,63,0,0,0.0,0.004757499998959247
uniform_02,eval,uniform,5,0,4,63,18,63,0,0,0.015625,0.004022399996756576
uniform_02,eval,uniform,5,1/2,1,63,18,63,0,0,0.0,0.004596099999616854
uniform_02,eval,uniform,5,1/2,2,63,18,63,0,0,0.0,0.003921399998944253
uniform_02,eval,uniform,5,1/2,4,63,18,63,0,0,0.015625,0.005840700003318489
uniform_03,eval,uniform,1,0,1,63,18,63,0,0,0.0,0.00017449999722884968
uniform_03,eval,uniform,1,0,2,63,18,63,0,0,0.0,0.0002103000006172806
uniform_03,eval,uniform,1,0,4,63,18,63,0,0,0.0,0.00016179999511223286
uniform_03,eval,uniform,1,1/2,1,63,18,63,0,0,0.0,0.0001677999971434474
uniform_03,eval,uniform,1,1/2,2,63,18,63,0,0,0.0,0.0001582000040798448
uniform_03,eval,uniform,1,1/2,4,63,18,63,0,0,0.0,0.00015410000196425244
uniform_03,eval,uniform,5,0,1,63,18,63,0,0,0.0,0.003787599998759106
uniform_03,eval,uniform,5,0,2,63,18,63,0,0,0.0,0.0038009999989299104
uniform_03,eval,uniform,5,0,4,63,18,63,0,0,0.0,0.004708399996161461
uniform_03,eval,uniform,5,1/2,1,63,18,63,0,0,0.015625,0.004194599998299964
uniform_03,eval,uniform,5,1/2,2,63,18,63,0,0,0.0,0.003953700004785787
uniform_03,eval,uniform,5,1/2,4,63,18,63,0,0,0.0,0.003910400002496317
uniform_04,eval,uniform,1,0,1,63,18,63,0,0,0.0,0.000298099999781698
uniform_04,eval,uniform,1,0,2,63,18,63,0,0,0.0,0.0001658000037423335
uniform_04,eval,uniform,1,0,4,63,18,63,0,0,0.0,0.00016360000154236332
uniform_04,eval,uniform,1,1/2,1,63,18,63,0,0,0.0,0.00016060000052675605
uniform_04,eval,uniform,1,1/2,2,63,18,63,0,0,0.0,0.00017179999849759042
uniform_04,eval,uniform,1,1/2,4,63,18,63,0,0,0.0,0.00016460000188089907
uniform_04,eval,uniform,5,0,1,63,18,63,0,0,0.015625,0.003966000003856607
uniform_04,eval,uniform,5,0,2,63,18,63,0,0,0.0,0.0037318999966373667
uniform_04,eval,uniform,5,0,4,63,18,63,0,0,0.0,0.0037474000055226497
uniform_04,eval,uniform,5,1/2,1,63,18,63,0,0,0.0,0.004186500002106186
uniform_04,eval,uniform,5,1/2,2,63,18,63,0,0,0.015625,0.005209200004173908
uniform_04,eval,uniform,5,1/2,4,63,18,63,0,0,0.0,0.004051500000059605
uniform_05,eval,uniform,1,0,1,63,18,63,0,0,0.0,0.00018509999790694565
uniform_05,eval,uniform,1,0,2,63,18,63,0,0,0.0,0.00016419999883510172
uniform_05,eval,uniform,1,0,4,63,18,63,0,0,0.0,0.00016120000509545207
uniform_05,eval,uniform,1,1/2,1,63,18,63,0,0,0.0,0.0001655000014579855
uniform_05,eval,uniform,1,1/2,2,63,18,63,0,0,0.0,0.0001646999953663908
uniform_05,eval,uniform,1,1/2,4,63,18,63,0,0,0.0,0.00016340000001946464
uniform_05,eval,uniform,5,0,1,63,18,63,0,0,0.0,0.0037333000000217
uniform_05,eval,uniform,5,0,2,63,18,63,0,0,0.015625,0.004320300002291333
uniform_05,eval,uniform,5,0,4,63,18,63,0,0,0.0,0.004291400000511203
uniform_05,eval,uniform,5,1/2,1,63,18,63,0,0,0.0,0.005567400003201328
uniform_05,eval,uniform,5,1/2,2,63,18,63,0,0,0.015625,0.006727599997248035
