config_hash,case_id,instance_id,run_id,case,repetition,seed,family,universe_size,set_count,k,parameters,algorithm_id,algorithm_seed,algorithm,algorithm_options,algorithm_metadata,status,coverage,best_bound,optimum,optimality_gap,runtime_seconds,is_exact,timed_out,nodes_or_iterations,selected,error_message,schema_version
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,a019405646cf06be4418ddc50faf6299d278fc9ee83e9379163acdb0b93fd0d3,34683b2beee397049a2626a5b61ac555f67e3a6ad414f923976dcf1edffba451,overlap,10,16941105954642047143,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,33,0.0303030303,0.0000171000,False,False,58,0 1 9 13,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,a019405646cf06be4418ddc50faf6299d278fc9ee83e9379163acdb0b93fd0d3,1546662b5945bf16a6820c506e81fb256a6a59cc802e4c4ac2408fd647cbd7d7,overlap,10,16941105954642047143,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,33,33,33,0.0000000000,0.0006781000,True,False,1820,0 1 3 13,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,c05e8ab28c79d74d3f4d10340c2606fb136b6e7060cc2a9b3cc28185c82308ed,9ea8bc1aa940f8a72604c1ed53edf91d6093fdf178fdf0f26d54201ded9b22b2,overlap,11,16941105954642047144,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,37,,37,0.0000000000,0.0000166000,False,False,58,5 8 11 14,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,c05e8ab28c79d74d3f4d10340c2606fb136b6e7060cc2a9b3cc28185c82308ed,2ea991766abdd029fc98dd653989a7815ecc8964ade8ca6b0ac4fb6f88cfe500,overlap,11,16941105954642047144,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,37,37,37,0.0000000000,0.0006876000,True,False,1820,5 8 11 14,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,59d309d5bf775321759c9e7612a67a570066f850d0979cfcb5f0acfd08523ccc,168e18d35cb594bd0354cf5696d41692870e20cd3d85ce63e627c50055695d21,overlap,12,16941105954642047145,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,29,,29,0.0000000000,0.0000165000,False,False,58,0 1 2 5,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,59d309d5bf775321759c9e7612a67a570066f850d0979cfcb5f0acfd08523ccc,300849f66aaa95367a80e8d5ee962bc6647fa8a59812933142708608c1216362,overlap,12,16941105954642047145,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,29,29,29,0.0000000000,0.0006882000,True,False,1820,0 1 2 5,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,944a131ba5815f927334ca33eae075ba87010a17da7322a081723c245d2a26c1,f24dd4ceb8399dcabf41e5bfcddef580d7dc71940122de887c394a109ff96871,overlap,13,16941105954642047146,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,32,0.0000000000,0.0000170000,False,False,58,0 1 6 9,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,944a131ba5815f927334ca33eae075ba87010a17da7322a081723c245d2a26c1,3a5c3c038e856e7f5b52fc24e57d25df41ec571c816da479bc6f8d05bec4da95,overlap,13,16941105954642047146,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,32,32,32,0.0000000000,0.0006698000,True,False,1820,0 1 6 9,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,918cd88375b95551efaebece7405d1108afb85e879e9059db8e2478d040cbe15,2afc1ed0884fd79064bdd5d743cb9e093be19a673c92851061a6e6970142ed5c,overlap,14,16941105954642047147,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,32,0.0000000000,0.0000175000,False,False,58,2 4 9 11,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,918cd88375b95551efaebece7405d1108afb85e879e9059db8e2478d040cbe15,9f4f31fbcf19989dc78c8600fe233e04ed605025450e66acfe2d631bce920cdf,overlap,14,16941105954642047147,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,32,32,32,0.0000000000,0.0007074000,True,False,1820,2 4 9 11,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,28940c81d5ad0057765cfc874e9ac97f2feba2fd3db41a891206229a134d7632,2dd5a62dbda05a85a20baa76b61c591163b2d6695f823546c7fe4ae1c7204949,overlap,15,16941105954642047148,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,35,,36,0.0277777778,0.0000217000,False,False,58,0 4 6 12,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,28940c81d5ad0057765cfc874e9ac97f2feba2fd3db41a891206229a134d7632,ab7532d807f2f06620fb1dac23424d81184829e57a0b8757e620f7aadabca3df,overlap,15,16941105954642047148,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,36,36,36,0.0000000000,0.0006923000,True,False,1820,0 2 6 12,,4
