config_hash,repetition,treatment_case_id,treatment_instance_id,treatment_effective_seed,treatment_greedy_coverage,treatment_exact_optimum,treatment_failure,treatment_gap,treatment_pairwise_overlap_mean_jaccard,treatment_actual_density,treatment_mean_set_size,treatment_covered_element_count,treatment_coverage_skew_gini,control_case_id,control_instance_id,control_effective_seed,control_greedy_coverage,control_exact_optimum,control_failure,control_gap,control_pairwise_overlap_mean_jaccard,control_actual_density,control_mean_set_size,control_covered_element_count,control_coverage_skew_gini
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,10,overlap,a019405646cf06be4418ddc50faf6299d278fc9ee83e9379163acdb0b93fd0d3,16941105954642047143,32,33,1,0.030303030303030304,0.6189881947947291,0.4283854166666667,20.5625,36,0.5007437107935071,overlap_control,877cd1c7d11b66b352ef7f72ad8ba1f08db0e66687fa5b86a109764a9ebbeb48,16941105954642047143,48,48,0,0.0,0.29811287875369713,0.4596354166666667,22.0625,48,0.1505032849135073
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,11,overlap,c05e8ab28c79d74d3f4d10340c2606fb136b6e7060cc2a9b3cc28185c82308ed,16941105954642047144,37,37,0,0.0,0.6087475258604639,0.43359375,20.8125,40,0.4921730240879177,overlap_control,ce66a719f5bd81c704fa6b052ef79fdc7e8f22754c5a7c3d958af8ce3414c1d1,16941105954642047144,48,48,0,0.0,0.2902756545727848,0.4557291666666667,21.875,48,0.13349544072948327
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,12,overlap,59d309d5bf775321759c9e7612a67a570066f850d0979cfcb5f0acfd08523ccc,16941105954642047145,29,29,0,0.0,0.6236075807579431,0.40625,19.5,31,0.5334151663938898,overlap_control,8c2e5ee993efa4a942e4e63ed6be07cc2dd05a036a50e3019100e612df111514,16941105954642047145,48,48,0,0.0,0.2656959951111359,0.4388020833333333,21.0625,48,0.11610581476103289
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,13,overlap,944a131ba5815f927334ca33eae075ba87010a17da7322a081723c245d2a26c1,16941105954642047146,32,32,0,0.0,0.606860701903368,0.41796875,20.0625,35,0.5093789355073904,overlap_control,9fd4ef799456aff8334019d6c48c07635266692a13320a3fe1d2c9c74b6e9b56,16941105954642047146,48,48,0,0.0,0.25375828512654797,0.4088541666666667,19.625,48,0.16574061525952025
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,14,overlap,918cd88375b95551efaebece7405d1108afb85e879e9059db8e2478d040cbe15,16941105954642047147,32,32,0,0.0,0.5890860185610935,0.4127604166666667,19.8125,37,0.5052016913886838,overlap_control,c30d9a2d05ee2d7cabdbf84a8e7d7cdf2021beac465bc360c46fce662f817bef,16941105954642047147,48,48,0,0.0,0.25450114921275613,0.4153645833333333,19.9375,48,0.15560594944307343
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,15,overlap,28940c81d5ad0057765cfc874e9ac97f2feba2fd3db41a891206229a134d7632,16941105954642047148,35,36,1,0.027777777777777776,0.5979792486787255,0.4309895833333333,20.6875,39,0.4929613678729832,overlap_control,91f41fdf2ac2721f3cde308da50b8076ebb3ab7b0e99bc95972570cb3106b4ea,16941105954642047148,48,48,0,0.0,0.275173434847877,0.4283854166666667,20.5625,48,0.16781995731746752
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,16,overlap,0b13825350786855767a1829c8b2fbc8fde64a4288af3622a9edd71b8b48a7bb,16941105954642047149,31,33,1,0.06060606060606061,0.5836972705903866,0.4231770833333333,20.3125,39,0.48543371522094925,overlap_control,761339b7106565ffa341e6ef9526d83e7b74cdfe57d264a6f73557de6f1678b1,16941105954642047149,47,48,1,0.020833333333333332,0.2858494008666665,0.4427083333333333,21.25,48,0.16257822277847309
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,17,overlap,f45b89977b84c81bec6b227e805632f462b2aa8bebfe9367fbe245bbe2b14453,16941105954642047150,33,33,0,0.0,0.6178392249189351,0.4205729166666667,20.1875,36,0.5068836045056321,overlap_control,bfb7c37422748eaf7b45da0af2722431a8784ad2e56ab495ed2635d766c74cd9,16941105954642047150,48,48,0,0.0,0.2818809431595823,0.43359375,20.8125,48,0.18126637275573446
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,18,overlap,89068cf24251b4c2c2ccbb49b2a9027bbed779bdcef2872a90d0b58d40f440d0,16941105954642047151,35,36,1,0.027777777777777776,0.5869089130278693,0.4270833333333333,20.5,41,0.486377789309808,overlap_control,79b14664b544fc4f174b1ed3e9cc6be721c48381ce05ee49ad961ea91640e3bf,16941105954642047151,47,48,1,0.020833333333333332,0.26853591319846,0.40625,19.5,48,0.20226404800872885
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,19,overlap,51887cf94427b4aa2fe8814f5f9f646b687dc68d9db21989cf5b3d03d5c8b906,16941105954642047152,32,32,0,0.0,0.6467608878202332,0.4296875,20.625,35,0.5128304319793682,overlap_control,3800e6a0173a04c2846b8a6b1132886b262f35947364f584e6fa4a31c00a08fe,16941105954642047152,48,48,0,0.0,0.2883860086554664,0.44140625,21.1875,48,0.18634281051904852
