base_graph_id,instance_id,n,d,k,greedy,optimum,initial_upper,prefix_upper,dual_upper,endpoint,tightening_initial,tightening_prefix,initial_ratio,prefix_ratio,dual_ratio,ratio_gain_initial,ratio_gain_prefix,dual_over_optimum,initial_certified,prefix_certified,dual_certified
r2-preflight-n12-d4-r0001,69a9b75b0221dcc6ed509bf0c19bc9d281b6ea10325828c04f7ec159c2e0e13c,12,4,2,8,8,8,8,8,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d4-r0001,98f20238610b65a00832767f32aec334fd011b7fb34d6ca7a633a6cb151ccf30,12,4,3,10,11,12,12,12,interior,0,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,1.0909090909090908,0,0,0
r2-preflight-n12-d4-r0001,389080e9c96826286a98e6b8d5dd73354ef7c37b302db3465f3cf716e896f04e,12,4,5,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d4-r0001,3e5e8acc9308a423827224acad356a1e90674e94f8b6f2ea9ca1f1d1c653ab51,12,4,6,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d4-r0001,6cde84e8391f0435c36340b4a31516eb2b22da37ba822117fe7ed5fffc4f3ea7,12,4,12,12,12,12,12,12,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0000,2f1ee9eac55a11fc19ac9dd5aefedc8b8fea82b6f742a5e7c7fcf87056c248ba,16,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0000,b7f71324530289ab7c7ddf3fee25ad74cf22e0d03be2e4d8200bb6e7f2ecb620,16,2,2,4,4,4,4,4,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0000,75699c5c485cf61577742cc2be6f92ebacf7a1a25cc4e510924a30a7dcbca4ee,16,2,4,8,8,8,8,8,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0000,ce6b162d3192d6bcf0a97246ed65dd7f256724f8773a60e9c2be9b54a77ea731,16,2,6,11,12,12,12,12,interior,0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,1.0,0,0,0
r2-preflight-n16-d2-r0000,393b4e5d4809291a50b19c7266aa1572d8630c1c430f500f859a2e7d7ca11369,16,2,8,13,14,14,14,14,interior,0,0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.0,0.0,1.0,0,0,0
r2-preflight-n16-d2-r0000,045f9f6b504f9ed6b7a1fe4df748af6eea9906c75d242443864a95e4a21861ef,16,2,12,14,14,14,14,14,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0000,58d3b80408da0d3085993839f5a102cf63ab5a168edcbede885998c82af3db47,16,2,16,14,14,14,14,14,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n16-d2-r0001,767f9ff5374fffb8938f1ac8e6700eb0c1e4a1e588d1258154daf86d8fa01192,16,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
