n,d,k,count,endpoint,tightened_initial,tightened_prefix,initial_certified,prefix_certified,dual_certified,tightening_initial_missing,tightening_initial_mean,tightening_initial_median,tightening_initial_p90,tightening_prefix_missing,tightening_prefix_mean,tightening_prefix_median,tightening_prefix_p90,ratio_gain_initial_missing,ratio_gain_initial_mean,ratio_gain_initial_median,ratio_gain_initial_p90,ratio_gain_prefix_missing,ratio_gain_prefix_mean,ratio_gain_prefix_median,ratio_gain_prefix_p90,dual_over_optimum_missing,dual_over_optimum_mean,dual_over_optimum_median,dual_over_optimum_p90,dual_ratio_missing,dual_ratio_mean,dual_ratio_median,dual_ratio_p90,prefix_ratio_missing,prefix_ratio_mean,prefix_ratio_median,prefix_ratio_p90,initial_ratio_missing,initial_ratio_mean,initial_ratio_median,initial_ratio_p90
12,3,4,2,interior,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.1454545454545455,1.1454545454545455,1.2,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.8333333333333334,0.8333333333333334
12,3,6,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,3,8,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,3,12,2,k=M,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,4,1,2,k=1,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,4,2,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,4,3,2,interior,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0909090909090908,1.0909090909090908,1.0909090909090908,0,0.875,0.875,0.9166666666666666,0,0.875,0.875,0.9166666666666666,0,0.875,0.875,0.9166666666666666
12,4,5,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,4,6,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,4,12,2,k=M,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
