population,case_id,repetition,instance_id,greedy,optimal,first_failure_step,mechanism,one_swap,two_swap,one_swap_moves,two_swap_moves,one_swap_evaluations,two_swap_evaluations,two_swap_status,greedy_gap,one_swap_gap,two_swap_gap
pilot,overlap_control,17,bfb7c37422748eaf7b45da0af2722431a8784ad2e56ab495ed2635d766c74cd9,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,18,79b14664b544fc4f174b1ed3e9cc6be721c48381ce05ee49ad961ea91640e3bf,47,48,1,one_step_limit,47,47,0,0,48,444,local_optimum,0.0208333333333,0.0208333333333,0.0208333333333
pilot,overlap_control,19,3800e6a0173a04c2846b8a6b1132886b262f35947364f584e6fa4a31c00a08fe,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,20,7f641e6fb16260633a1f0307736dd12d96db8956e151bd10ab37790f3626d9f3,47,47,,optimal,47,47,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,21,d8e405ff6ec97b26811e11327cfd6fbf3d6c173e1eb89894d3624b1d6a4655a1,46,47,3,one_step_limit,46,47,0,1,48,888,local_optimum,0.0212765957447,0.0212765957447,0
pilot,overlap_control,22,23fc168f4bd5406de935683ceb3fd3f210f8f597899c864a1723e37f1d7ed765,47,48,1,one_step_limit,47,48,0,1,48,888,local_optimum,0.0208333333333,0.0208333333333,0
pilot,overlap_control,23,6535c24452fd224fe455f971ed192e1715136842f59ec429774a1faf483c4cbd,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,24,e0abe923771966c283e8f3d7de2ccd2460ae981a6e68519995ac2bdb1257eee5,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,25,ddbd8b6b78a67ac867f7f28fde498c68cf165044326f65e88c0e6ab6021f3e55,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,26,d24d0fa94d38b49a32d81d64f9f520cfc199d5da256f65da539c4946c8a420d3,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,27,01ce288add3431d096694c500e9cf08d438788e22bab1eee0638317fbd1bb115,47,48,1,one_step_limit,47,48,0,1,48,888,local_optimum,0.0208333333333,0.0208333333333,0
pilot,overlap_control,28,6baae96ed6dcc9e9d6899c3753466542c059a8fa12133c6fc496401e7c1f3787,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,29,d7c44aeacb9eb2106506f7e4c1ce3bc39a67044353df112097cd13eb4640afc7,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
fixture,multiple_optima,,0e0998a9ae266d32e06d1e449b84a99d4c84963789ae4d7acc0fa55f30fe08fa,4,4,,optimal,4,4,0,0,4,5,local_optimum,0,0,0
fixture,avoidable_tie,,4d7aa044cd1e7f14ae1e25179ca5ae7e1893f58c331c4e4155298692047c696d,6,8,1,tie_avoidable,8,8,1,0,4,2,local_optimum,0.25,0,0
fixture,unique_bait,,e8cadf5c23ca524b81437e87bab509b080e143552fd5e28521a6b49834701458,7,8,1,one_step_limit,8,8,1,0,4,2,local_optimum,0.125,0,0
fixture,two_swap_escape,,1499f46bcd874776e279f228a1f88db295bb42101e57b541c3d5126adf988987,6,8,1,tie_avoidable,6,8,0,1,4,10,local_optimum,0.25,0.25,0
fixture,two_swap_stall,,c79f958651a79ae721fea99928a5ae7dcd928d245e242a857083f2a5a446845c,10,12,1,tie_avoidable,10,10,0,0,9,18,local_optimum,0.166666666667,0.166666666667,0.166666666667
fixture,zero_objective,,558add2eaadc7681a7cdba37567738bb8b98d8a889ab9949b1244d559a5c96c3,0,0,,optimal,0,0,0,0,1,1,local_optimum,,,
