n,d,k,count,certified_optimal,initial_certified_optimal,trivial_endpoint,tightening_missing,tightening_mean,tightening_median,tightening_p90,upper_over_optimum_missing,upper_over_optimum_mean,upper_over_optimum_median,upper_over_optimum_p90,relative_upper_slack_missing,relative_upper_slack_mean,relative_upper_slack_median,relative_upper_slack_p90,greedy_ratio_missing,greedy_ratio_mean,greedy_ratio_median,greedy_ratio_p90,certified_ratio_missing,certified_ratio_mean,certified_ratio_median,certified_ratio_p90,relative_gap_bound_missing,relative_gap_bound_mean,relative_gap_bound_median,relative_gap_bound_p90
16,4,8,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,16,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,3,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,5,200,199,199,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9995,1.0,1.0,0,0.9995,1.0,1.0,0,0.0004999999999999999,0.0,0.0
20,2,8,200,41,41,0,0,0.0,0.0,0,0,1.0242857142857142,1.0,1.0666666666666667,0,0.024285714285714285,0.0,0.06666666666666667,0,0.9456279761904761,0.9375,1.0,0,0.9241458333333334,0.9375,1.0,0,0.07585416666666667,0.0625,0.125
20,2,10,200,81,81,0,0,0.0,0.0,0,0,1.0184423374613003,1.0,1.0588235294117647,0,0.01844233746130031,0.0,0.058823529411764705,0,0.9649005632954936,1.0,1.0,0,0.9484586343309254,0.9444444444444444,1.0,0,0.05154136566907466,0.05555555555555558,0.11111111111111116
20,2,15,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,20,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,2,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,4,200,178,178,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9904166666666667,1.0,1.0,0,0.9904166666666667,1.0,1.0,0,0.009583333333333338,0.0,0.08333333333333337
20,3,5,200,63,63,0,0,0.0,0.0,0,0,1.0046428571428572,1.0,1.0,0,0.004642857142857142,0.0,0.0,0,0.9508571428571428,0.9333333333333333,1.0,0,0.9466666666666668,0.9333333333333333,1.0,0,0.05333333333333332,0.06666666666666665,0.1333333333333333
20,3,7,200,13,13,0,0,0.0,0.0,0,0,1.0440385276917785,1.0526315789473684,1.1111111111111112,0,0.04403852769177846,0.05263157894736842,0.1111111111111111,0,0.9455702614379085,0.9444444444444444,1.0,0,0.9066836085311317,0.9,0.95,0,0.09331639146886828,0.09999999999999998,0.1578947368421053
20,3,10,200,193,193,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9979605263157895,1.0,1.0,0,0.9979605263157895,1.0,1.0,0,0.0020394736842105276,0.0,0.0
20,3,14,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,20,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,2,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,3,200,168,168,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9866666666666667,1.0,1.0,0,0.9866666666666667,1.0,1.0,0,0.01333333333333334,0.0,0.08333333333333337
20,4,4,200,28,28,0,0,0.0,0.0,0,0,1.0136666666666665,1.0,1.0666666666666667,0,0.013666666666666667,0.0,0.06666666666666667,0,0.9443541666666667,0.9375,1.0,0,0.931875,0.9375,1.0,0,0.068125,0.0625,0.125
20,4,5,200,1,1,0,0,0.0,0.0,0,0,1.0954764361885105,1.1111111111111112,1.1111111111111112,0,0.0954764361885105,0.1111111111111111,0.1111111111111111,0,0.9464207086343309,0.9444444444444444,1.0,0,0.8643947368421052,0.85,0.9,0,0.13560526315789473,0.15000000000000002,0.19999999999999996
20,4,8,200,192,192,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.998,1.0,1.0,0,0.998,1.0,1.0,0,0.0020000000000000018,0.0,0.0
20,4,10,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,20,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
